Website URL,Topics,Manual,Match,Empty
brave.com,['arts & entertainment'],"['web browsers', 'network security', 'computers & electronics', 'software', 'internet & telecom']",False,False
registroestudiantes.fevp.gob.ve,['colleges & universities'],"['business & industrial', 'law & government', 'home & garden', 'construction & maintenance', 'landscape design']",False,False
asiemodel.net,"['computers & electronics', 'education', 'visual art & design']","['education', 'distance learning', 'jobs & education', 'vocational & continuing education', 'jobs', 'career resources & planning']",False,False
www.nkd.com,"['home & interior decor', 'apparel']","['beauty & fitness', 'home & garden', 'home & interior decor', 'fashion & style', 'home improvement']",False,False
www.khabarfoori.com,"['local news', 'news']","['arts & entertainment', 'sports', 'news', 'politics']",False,False
suite.sogiscuola.com,"['primary & secondary schooling (k-12)', 'standardized & admissions tests']","['education', 'web apps & online tools', 'distance learning', 'jobs & education', 'internet & telecom']",False,False
developer.android.com,"['internet & telecom', 'mobile phones', 'computers & electronics']","['smart phones', 'computers & electronics', 'operating systems', 'software', 'internet & telecom']",False,False
www.dish.com,"['service providers', 'cable & satellite providers']","['arts & entertainment', 'live sporting events', 'tv shows & programs']",False,False
www.dominos.nl,['pizzerias'],"['food & drink', 'advertising & marketing', 'agriculture & forestry', 'business & industrial', 'food production', 'sales']",False,False
loadedfiles.com,"['web services', 'online communities']","['computers & electronics', 'internet & telecom', 'networking', 'distributed & cloud computing']",False,False
www.grubiks.com,['arts & entertainment'],"['computer & video games', 'programming', 'web apps & online tools', 'computers & electronics', 'games', 'strategy games', 'internet & telecom']",False,False
vodiy.ua,"['autos & vehicles', 'law & government', 'education']","['standardized & admissions tests', 'education', 'travel & transportation', 'jobs & education', 'automotive industry', 'business & industrial']",False,False
astv.ru,"['local news', 'internet & telecom', 'arts & entertainment']","['talk radio', 'news', 'music & audio', 'tv shows & programs', 'arts & entertainment']",False,False
qquing.net,['comics & animation'],"['forum & chat providers', 'comics', 'entertainment industry', 'arts & entertainment', 'online communities']",False,False
plus.wowma.jp,"['computer & video games', 'arts & entertainment']","['beauty & fitness', 'food & drink', 'food & grocery retailers', 'fashion & style', 'sports']",False,False
hydrogenexecutor.com,"['roleplaying games', 'computer & video games']","['computer & video games', 'web apps & online tools', 'games', 'internet & telecom', 'online communities']",False,False
lilluna.com,['hobbies & leisure'],"['food & drink', 'cooking & recipes', 'arts & entertainment', 'online communities', 'online video']",False,False
www.fashiongo.net,"['fashion & style', 'apparel']","['beauty & fitness', 'business & industrial', 'home & garden', 'home & interior decor', 'retail trade', 'fashion & style']",False,False
www.poco.de,"['mass merchants & department stores', 'building materials & supplies', 'home & garden']","['home appliances', 'home improvement', 'home & garden', 'home & interior decor']",False,False
t.rasp.yandex.by,['business & industrial'],"['travel & transportation', 'air travel', 'travel guides & travelogues', 'long distance bus & rail']",False,False
www.koimoi.com,['movies'],"['arts & entertainment', 'news', 'tv shows & programs']",False,False
www.am.com.mx,"['local news', 'news']","['sports', 'people & society', 'news']",False,False
mvtk.jp,"['celebrities & entertainment news', 'news']","['arts & entertainment', 'movie listings & theater showtimes', 'movies', 'acting & theater']",False,False
www.eastpak.com,['investing'],"['beauty & fitness', 'education', 'travel & transportation', 'jobs & education', 'adventure travel', 'fashion & style']",False,False
www.fomos.kr,['arts & entertainment'],"['sports', 'news', 'games']",False,False
www.trafalgar.com,"['arts & entertainment', 'news']","['travel & transportation', 'travel guides & travelogues', 'tourist destinations', 'adventure travel']",False,False
m.email.tiscali.cz,['internet & telecom'],"['travel & transportation', 'sports', 'news']",False,False
www.tabroom.com,"['primary & secondary schooling (k-12)', 'colleges & universities', 'people & society']","['hobbies & leisure', 'reference', 'educational resources', 'jobs & education']",False,False
www.netonnet.se,['shopping'],"['computer & video games', 'tv shows & programs', 'computers & electronics', 'games', 'arts & entertainment']",False,False
bimeh.com,['arts & entertainment'],"['travel insurance', 'insurance', 'auto insurance', 'finance']",False,False
kurashinista.jp,"['cooking & recipes', 'hobbies & leisure', 'people & society']","['arts & entertainment', 'cooking & recipes', 'shopping', 'food & drink']",False,False
forum.giants-software.com,"['enterprise technology', 'business & industrial']","['forum & chat providers', 'computers & electronics', 'social networks', 'software', 'online communities']",False,False
asia.kporama.net,['movie & tv streaming'],"['arts & entertainment', 'online video', 'movies', 'tv shows & programs']",False,False
www.gotquestions.org,['books & literature'],"['forum & chat providers', 'online communities', 'people & society']",False,False
www.footasylum.com,"['footwear', 'outerwear', 'mass merchants & department stores', 'athletic apparel']","['fashion & style', 'shopping', 'beauty & fitness', 'fitness']",False,False
www.bax-shop.fr,"['arts & entertainment', 'tv & video']","['consumer electronics', 'music & audio', 'musical instruments', 'computers & electronics', 'arts & entertainment']",False,False
garantiasafra.mda.gov.br,"['arts & entertainment', 'tv & video', 'music & audio']","['legal', 'travel & transportation', 'agriculture & forestry', 'regional parks & gardens', 'tourist destinations', 'business & industrial', 'law & government', 'legal services']",False,False
krasnodar.leroymerlin.ru,"['mass merchants & department stores', 'building materials & supplies']","['home improvement', 'shopping', 'home & garden', 'home & interior decor']",False,False
www3.citizensbankonline.com,['banking'],"['currencies & foreign exchange', 'finance', 'investing', 'financial planning & management']",False,False
www.sportmaster.ru,"['fitness equipment & accessories', 'athletic apparel', 'sporting goods']","['fashion & style', 'shopping', 'beauty & fitness', 'sports']",False,False
www.bs-tvtokyo.co.jp,['tv & video'],"['arts & entertainment', 'tv shows & programs', 'news', 'music & audio']",False,False
regiojet.cz,"['law & government', 'business & industrial']","['travel & transportation', 'air travel', 'travel guides & travelogues', 'tourist destinations']",False,False
www.hsbc.com.ar,"['banking', 'people & society']","['finance', 'insurance', 'web apps & online tools', 'financial planning & management', 'internet & telecom']",False,False
www.ugel01.gob.pe,"['law & government', 'business & industrial']","['education', 'reference', 'educational resources', 'jobs & education', 'law & government']",False,False
himado.in,"['comics & animation', 'tv & video', 'arts & entertainment']","['animated films', 'tv shows & programs', 'movies', 'arts & entertainment', 'online video']",False,False
www.garagejournal.com,['building materials & supplies'],"['forum & chat providers', 'outdoors', 'hobbies & leisure', 'online communities', 'autos & vehicles']",False,False
gt.siman.com,['autos & vehicles'],"['shopping', 'beauty & fitness', 'home & garden']",False,False
zonas.mobi,"['mobile phones', 'phone service providers']","['computer & video games', 'competitive video gaming', 'games', 'strategy games', 'online communities']",False,False
www.kueskipay.com,['credit & lending'],"['finance', 'advertising & marketing', 'personal loans', 'business & industrial', 'shopping', 'sales']",False,False
seriesturcas.org,"['tv & video', 'tv dramas', 'arts & entertainment']","['arts & entertainment', 'entertainment industry', 'online communities', 'online video']",False,False
