Website URL,Topics,Manual,Match,Empty
verizon-airgchates.airg.ca,"['air travel', 'aviation industry']","['games', 'online communities', 'dating & personals', 'forum & chat providers', 'computer & video games']",False,False
hentai18.net,"['online communities', 'arts & entertainment']","['animated films', 'comics', 'entertainment industry', 'arts & entertainment', 'movies']",False,False
chikubi.jp,['reference'],"['animated films', 'comics', 'entertainment industry', 'arts & entertainment', 'movies']",False,False
truehookup.com,['arts & entertainment'],"['people & society', 'family & relationships', 'online communities', 'social networks', 'dating & personals']",False,False
www.sexetag.com,"['dating & personals', 'forum & chat providers']","['acting & theater', 'people & society', 'family & relationships', 'entertainment industry', 'arts & entertainment']",False,False
vodiy.ua,['autos & vehicles'],"['travel & transportation', 'business & industrial', 'standardized & admissions tests', 'automotive industry', 'jobs & education', 'education']",False,False
astv.ru,['online video'],"['music & audio', 'news', 'arts & entertainment', 'talk radio', 'tv shows & programs']",False,False
www.pornizle.tv,['online video'],"['acting & theater', 'people & society', 'family & relationships', 'entertainment industry', 'arts & entertainment']",False,False
plus.wowma.jp,['shopping'],"['beauty & fitness', 'sports', 'food & drink', 'fashion & style', 'food & grocery retailers']",False,False
www.desiporny.com,['social networks'],"['acting & theater', 'people & society', 'family & relationships', 'entertainment industry', 'arts & entertainment']",False,False
www.fashiongo.net,"['fashion & style', 'shopping']","['beauty & fitness', 'business & industrial', 'fashion & style', 'home & interior decor', 'home & garden', 'retail trade']",False,False
www.poco.de,"['construction & maintenance', 'home & garden', 'shopping']","['home improvement', 'home & interior decor', 'home appliances', 'home & garden']",False,False
t.rasp.yandex.by,"['shopping', 'news']","['air travel', 'travel & transportation', 'long distance bus & rail', 'travel guides & travelogues']",False,False
www.olgasmile.com,"['how-to, diy & expert content']","['books & literature', 'food & drink', 'healthy eating', 'cooking & recipes']",False,False
www.am.com.mx,"['news', 'local news']","['sports', 'news', 'people & society']",False,False
mvtk.jp,"['arts & entertainment', 'news']","['arts & entertainment', 'acting & theater', 'movies', 'movie listings & theater showtimes']",False,False
www.eastpak.com,"['news', 'travel & transportation']","['beauty & fitness', 'travel & transportation', 'fashion & style', 'jobs & education', 'adventure travel', 'education']",False,False
www.fomos.kr,"['arts & entertainment', 'computer & video games', 'news', 'online communities']","['sports', 'games', 'news']",False,False
www.trafalgar.com,['reference'],"['travel guides & travelogues', 'tourist destinations', 'travel & transportation', 'adventure travel']",False,False
www.fastweb.com,['internet & telecom'],"['colleges & universities', 'education', 'student loans & college financing', 'jobs & education', 'finance', 'reference', 'educational resources']",False,False
m.email.tiscali.cz,"['internet & telecom', 'email']","['sports', 'travel & transportation', 'news']",False,False
www.tabroom.com,"['education', 'colleges & universities', 'people & society', 'reference']","['jobs & education', 'hobbies & leisure', 'reference', 'educational resources']",False,False
www.netonnet.se,['shopping'],"['games', 'computers & electronics', 'arts & entertainment', 'tv shows & programs', 'computer & video games']",False,False
www.extremechat.com,"['forum & chat providers', 'dating & personals']","['people & society', 'family & relationships', 'online communities', 'entertainment industry', 'arts & entertainment', 'forum & chat providers']",False,False
forum.giants-software.com,"['computers & electronics', 'software', 'freeware & shareware']","['computers & electronics', 'software', 'online communities', 'social networks', 'forum & chat providers']",False,False
asia.kporama.net,"['online video', 'tv dramas']","['arts & entertainment', 'tv shows & programs', 'online video', 'movies']",False,False
www.gotquestions.org,['books & literature'],"['forum & chat providers', 'people & society', 'online communities']",False,False
www.footasylum.com,"['soccer', 'news', 'sports']","['fashion & style', 'fitness', 'beauty & fitness', 'shopping']",False,False
www.bax-shop.fr,['home & garden'],"['computers & electronics', 'consumer electronics', 'music & audio', 'musical instruments', 'arts & entertainment']",False,False
krasnodar.leroymerlin.ru,['reference'],"['home improvement', 'home & interior decor', 'home & garden', 'shopping']",False,False
www.sportmaster.ru,"['sports', 'shopping', 'fitness']","['sports', 'fashion & style', 'beauty & fitness', 'shopping']",False,False
regiojet.cz,['arts & entertainment'],"['travel guides & travelogues', 'tourist destinations', 'air travel', 'travel & transportation']",False,False
www.frasess.net,"['books & literature', 'reference']","['books & literature', 'poetry']",False,False
www.tapatalk.com,"['arts & entertainment', 'news']","['social networks', 'forum & chat providers', 'online communities']",False,False
www.fip.it,['internet & telecom'],"['sports', 'basketball']",False,False
www.hadviser.com,['fashion & style'],"['beauty & fitness', 'hair care', 'face & body care', 'clean beauty', 'how-to, diy & expert content', 'reference']",False,False
www.embrapa.br,"['colleges & universities', 'education']","['agriculture & forestry', 'business & industrial', 'business operations']",False,False
www.cosme.net,"['face & body care', 'make-up & cosmetics']","['face & body care', 'beauty & fitness', 'bath & body products', 'shopping']",False,False
supertela.wf,"['arts & entertainment', 'humor']","['action & adventure films', 'arts & entertainment', 'online video', 'movies']",False,False
m.ybirds.com,['news'],"['lots & land', 'timeshares & vacation properties', 'real estate']",False,False
www.ledger.com,"['business & industrial', 'computers & electronics']","['finance', 'financial planning & management']",False,False
icmai.in,['standardized & admissions tests'],"['finance', 'accounting & auditing', 'jobs & education', 'tax preparation & planning']",False,False
starpets.gg,['strategy games'],"['arts & entertainment', 'painting', 'visual art & design']",False,False
bombitup.net,"['arts & entertainment', 'computer & video games']","['hobbies & leisure', 'web apps & online tools', 'internet & telecom']",False,False
m.ome.tv,['arts & entertainment'],"['people & society', 'web apps & online tools', 'internet & telecom', 'online communities', 'social networks']",False,False
www.sinembargo.mx,['movies'],"['politics', 'news', 'local news']",False,False
mx.usembassy.gov,"['law & government', 'reference']","['law & government', 'politics', 'news', 'legal']",False,False
m.tupaki.com,['shopping'],"['politics', 'news', 'local news']",False,False
www.emploi-collectivites.fr,"['job listings', 'law & government']","['career resources & planning', 'jobs', 'jobs & education']",False,False
www.bim.com.tr,"['food & grocery retailers', 'shopping']","['home appliances', 'home & garden', 'shopping']",False,False
synoniemen.net,['reference'],"['jobs & education', 'internet & telecom', 'web apps & online tools', 'education']",False,False
www2.city.kyoto.lg.jp,['reference'],"['travel & transportation', 'news', 'tourist destinations', 'family travel', 'local news']",False,False
xat.com,['internet & telecom'],"['forum & chat providers', 'online communities']",False,False
www.tangrenjie.tv,['internet & telecom'],"['arts & entertainment', 'online video', 'movies']",False,False
www.tempstaff.co.jp,"['shopping', 'business & industrial']","['jobs', 'jobs & education', 'job listings']",False,False
sentence.yourdictionary.com,['reference'],"['jobs & education', 'internet & telecom', 'web apps & online tools']",False,False
www.dday.it,['news'],"['consumer electronics', 'computers & electronics', 'computer peripherals', 'wearable technology']",False,False
www.archanaskitchen.com,['world cuisine'],"['food & drink', 'vegetarian cuisine', 'cuisines', 'healthy eating', 'cooking & recipes']",False,False
home.gamer.com.tw,"['computer & video games', 'arts & entertainment']","['arts & entertainment', 'painting', 'visual art & design', 'comics']",False,False
www.lowadi.com,['arts & entertainment'],"['games', 'sports', 'simulation games', 'equestrian', 'computer & video games']",False,False
www.avendrealouer.fr,"['real estate', 'shopping']","['lots & land', 'home & garden', 'real estate']",False,False
safer.fmcsa.dot.gov,"['law & government', 'tax preparation & planning']","['law & government', 'business & industrial', 'legal', 'automotive industry']",False,False
bongda.wap.vn,"['news', 'sports', 'soccer']","['sports', 'soccer', 'reference']",False,False
fareharbor.com,['reference'],"['web apps & online tools', 'business & industrial', 'business operations', 'internet & telecom', 'flexible work arrangements']",False,False
www.zalando.sk,['arts & entertainment'],"[""women's clothing"", ""men's clothing"", 'shopping']",False,False
nextcareernow.com,['human resources'],"['career resources & planning', 'jobs', 'jobs & education', 'job listings']",False,False
shop.nissa.ro,"['autos & vehicles', 'vehicle parts & accessories']","[""women's clothing"", 'shopping']",False,False
chromeunboxed.com,['operating systems'],"['laptops & notebooks', 'computers & electronics', 'desktop computers', 'online communities']",False,False
www.watch.impress.co.jp,"['computers & electronics', 'news', 'science']","['weather', 'news', 'local news']",False,False
us.i.mi.com,['news'],"['distributed & cloud computing', 'computers & electronics', 'networking']",False,False
jogjagamers.org,"['computer & video games', 'arts & entertainment']","['games', 'casual games', 'computer & video games', 'sports games']",False,False
www.mojedatovaschranka.cz,['reference'],"['web apps & online tools', 'internet & telecom', 'law & government', 'legal services', 'legal']",False,False
www.car-part.com,['vehicle parts & accessories'],"['business & industrial', 'automotive industry', 'autos & vehicles', 'vehicle shopping', 'shopping']",False,False
www.antel.com.uy,['internet & telecom'],"['consumer electronics', 'wearable technology', 'computers & electronics', 'shopping']",False,False
www.pleinchamp.com,['arts & entertainment'],"['agriculture & forestry', 'business & industrial', 'news', 'food production', 'weather']",False,False
www.bolabet.co.zm,['news'],"['arts & entertainment', 'card games', 'games', 'entertainment industry']",False,False
www.nespresso.com,"['food & drink', 'home & garden', 'home appliances']","['home appliances', 'home & garden', 'household supplies']",False,False
www.fringecapybara.com,['news'],"['books & literature', 'forum & chat providers', 'online communities']",False,False
motocykle.bazos.sk,"['motorcycles', 'shopping']","['business & industrial', 'automotive industry', 'autos & vehicles', 'vehicle shopping', 'used vehicles']",False,False
fotosbor.com,['online image galleries'],"['arts & entertainment', 'online video']",False,False
www.eventseye.com,['arts & entertainment'],"['web apps & online tools', 'internet & telecom', 'reference']",False,False
dgt.gov.in,['law & government'],"['colleges & universities', 'online communities', 'jobs & education', 'forum & chat providers', 'education']",False,False
booking-dp.lastminute.de,"['travel & transportation', 'hotels & accommodations']","['air travel', 'low cost & last minute travel', 'travel & transportation']",False,False
www.nikon.co.in,['cameras & camcorders'],"['arts & entertainment', 'visual art & design', 'photographic & digital arts', 'shopping']",False,False
www.doviz.com,"['business & industrial', 'investing', 'news']","['economy news', 'business & industrial', 'news', 'mergers & acquisitions']",False,False
www.vtwonen.nl,['arts & entertainment'],"['home improvement', 'home & garden', 'shopping']",False,False
android.com.pl,"['internet & telecom', 'operating systems']","['consumer electronics', 'games', 'computers & electronics', 'computer & video games']",False,False
cloud.mail.ru,"['internet & telecom', 'online communities']","['computers & electronics', 'web apps & online tools', 'distributed & cloud computing', 'networking', 'internet & telecom']",False,False
www.inter.it,"['soccer', 'sports', 'news']","['sports', 'soccer']",False,False
www.olhonocarro.com.br,"['autos & vehicles', 'vehicle shopping']","['web apps & online tools', 'business & industrial', 'internet & telecom', 'automotive industry', 'reference']",False,False
www.bleacherbreaker.com,"['news', 'arts & entertainment']","['weather', 'news', 'local news']",False,False
survimo.com,['arts & entertainment'],"['jobs', 'jobs & education', 'job listings']",False,False
redmijuga.net,['online communities'],"['arts & entertainment', 'card games', 'games', 'entertainment industry']",False,False
search.ancestry.com,['ancestry & genealogy'],"['web apps & online tools', 'internet & telecom', 'reference']",False,False
www.jollyroom.se,['arts & entertainment'],"[""children's clothing"", 'shopping']",False,False
drudgereport.com,['news'],"['people & society', 'science fiction & fantasy']",False,False
www.royce.com,['music & audio'],"['food & drink', 'shopping']",False,False
woman.rambler.ru,['people & society'],"['politics', 'news', 'world news']",False,False
www.ovhcloud.com,"['internet & telecom', 'computers & electronics']","['distributed & cloud computing', 'computers & electronics', 'networking']",False,False
www.cambridgelms.org,"['colleges & universities', 'distance learning']","['colleges & universities', 'education', 'jobs & education', 'reference', 'educational resources']",False,False
www.tnt.it,['online video'],"['cargo trucks & trailers', 'travel & transportation', 'business & industrial', 'autos & vehicles', 'retail trade']",False,False
www.arbitersports.com,"['software', 'sports']","['sports', 'finance', 'american football', 'financial planning & management']",False,False
www.myhomebook.de,"['home & interior decor', 'design']","['gardening', 'home & garden', 'landscape design']",False,False
nzfarmsource.co.nz,"['health insurance', 'insurance']","['agriculture & forestry', 'business & industrial', 'food production']",False,False
fashionspark.com,"['fashion & style', 'shopping']","[""women's clothing"", ""men's clothing"", 'shopping']",False,False
email.inbox.lv,['internet & telecom'],"['economy news', 'news', 'local news']",False,False
www.aa2000.com.ar,['autos & vehicles'],"['air travel', 'travel & transportation', 'travel guides & travelogues']",False,False
parisfashionshops.com,"['shopping', ""women's clothing"", 'fashion & style']","[""women's clothing"", ""men's clothing"", 'shopping']",False,False
m.naaptol.com,"['news', 'reference', 'arts & entertainment']","[""men's clothing"", ""children's clothing"", 'shopping']",False,False
pitaronfree.blogspot.com,['cooking & recipes'],"['web apps & online tools', 'internet & telecom', 'reference']",False,False
forum.matrp.ru,['forum & chat providers'],"['games', 'simulation games', 'massively multiplayer games', 'computer & video games']",False,False
livesta.com.ua,"['reference', 'news']","['beauty & fitness', 'face & body care', 'make-up & cosmetics', 'perfumes & fragrances', 'shopping']",False,False
www.trollandtoad.com,"['card games', 'arts & entertainment']","['roleplaying games', 'games', 'card games']",False,False
www.sexolandia.org,['dating & personals'],"['arts & entertainment', 'online video', 'entertainment industry']",False,False
aprendizaje.mec.edu.py,"['education', 'law & government']","['education', 'reference', 'jobs & education', 'preschool', 'early childhood education', 'educational resources']",False,False
www.arzon.jp,"['arts & entertainment', 'news']","['arts & entertainment', 'online video', 'movies']",False,False
aula.lamolina.edu.pe,"['colleges & universities', 'education']","['agriculture & forestry', 'business & industrial', 'food production']",False,False
www.favorgk.com,['social networks'],"['graphics & animation software', 'computers & electronics', 'software', 'comics', 'arts & entertainment', 'visual art & design']",False,False
www.ntvshop.jp,"['arts & entertainment', 'shopping']","['household supplies', 'home & garden', 'shopping']",False,False
www.pinterest.ca,"['online image galleries', 'online communities', 'social networks']","['arts & entertainment', 'visual art & design', 'online communities']",False,False
www.ampparit.com,['news'],"['forum & chat providers', 'online communities']",False,False
tienda.clarochile.cl,['business & industrial'],"['computers & electronics', 'consumer electronics', 'internet & telecom', 'smart phones', 'shopping']",False,False
travel.yahoo.co.jp,['tourist destinations'],"['lots & land', 'timeshares & vacation properties', 'real estate']",False,False
exams.hpushimla.in,"['standardized & admissions tests', 'colleges & universities']","['jobs & education', 'colleges & universities', 'education']",False,False
spravy.rtvs.sk,['reference'],"['politics', 'news', 'local news']",False,False
brightspace.avans.nl,['advertising & marketing'],"['colleges & universities', 'internet & telecom', 'jobs & education', 'distance learning', 'web design & development', 'education']",False,False
ceptam10.com,['internet & telecom'],"['jobs', 'jobs & education', 'academic conferences & publications', 'education', 'science']",False,False
pinayvlog.com,['online communities'],"['arts & entertainment', 'acting & theater', 'online video', 'entertainment industry']",False,False
www.farmrio.com.br,"['agriculture & forestry', 'business & industrial']","['beauty & fitness', ""children's clothing"", 'fashion & style', ""women's clothing"", 'shopping']",False,False
onlineupdatestm.in,['arts & entertainment'],"['jobs & education', 'colleges & universities', 'education']",False,False
www.raiffeisen.ru,"['arts & entertainment', 'news']","['personal loans', 'finance', 'credit cards']",False,False
veiculos.fipe.org.br,"['legal', 'people & society']","['law & government', 'legal', 'legal services']",False,False
cookidoo.de,"['cooking & recipes', 'home & garden']","['cuisines', 'food & drink', 'cooking & recipes']",False,False
englishgrammarhere.com,"['reference', 'foreign language study']","['distance learning', 'jobs & education', 'education']",False,False
www.rossmann.com.tr,"['news', 'business & industrial']","['face & body care', 'beauty & fitness', ""children's clothing"", 'shopping']",False,False
player03.com,"['arts & entertainment', 'computer & video games']","['programming', 'computers & electronics', 'software', 'computer peripherals']",False,False
www.intacct.com,"['accounting & auditing', 'software']","['business & industrial', 'business operations', 'financial planning & management', 'finance', 'commercial lending']",False,False
m.anninhthudo.vn,"['reference', 'news']","['world news', 'news', 'crime & justice', 'law & government', 'local news']",False,False
www.yupcard.com,['business & industrial'],"['finance', 'accounting & auditing', 'credit cards', 'shopping']",False,False
www.filmeshdtorrent.com,"['movies', 'internet & telecom', 'online communities']","['arts & entertainment', 'online video', 'movies', 'drama films']",False,False
telegratis.online,"['arts & entertainment', 'internet & telecom']","['online communities', 'entertainment industry', 'arts & entertainment', 'online video', 'social networks']",False,False
xxb.mobi,['internet & telecom'],"['acting & theater', 'online communities', 'arts & entertainment', 'online video', 'social networks']",False,False
thulasi.psc.kerala.gov.in,"['law & government', 'standardized & admissions tests']","['law & government', 'vocational & continuing education', 'jobs & education', 'education']",False,False
old.winline.ru,['software'],"['sports', 'finance', 'insurance']",False,False
www.hurriyet.com.tr,"['arts & entertainment', 'internet & telecom', 'news']","['world news', 'news', 'local news']",False,False
apps.driveu.in,"['computer & video games', 'internet & telecom']","['travel & transportation', 'internet & telecom', 'web apps & online tools', 'online communities']",False,False
teoritentamen.no,"['education', 'legal']","['academic conferences & publications', 'jobs & education', 'education']",False,False
www.fullporn.net,['dating & personals'],"['acting & theater', 'online communities', 'arts & entertainment', 'online video', 'social networks']",False,False
cloud.aeolservice.es,"['autos & vehicles', 'education', 'legal']","['computers & electronics', 'web hosting', 'internet & telecom', 'networking']",False,False
jobvision.ir,['job listings'],"['business & industrial', 'jobs', 'jobs & education', 'education']",False,False
eduline.ac-lille.fr,['colleges & universities'],"['distance learning', 'jobs & education', 'education']",False,False
www.legimi.pl,['real estate'],"['books & literature', 'poetry', 'jobs & education', 'education']",False,False
wielermanager.sporza.be,"['cycling', 'sports']","['sports', 'social networks', 'fantasy sports', 'online communities']",False,False
www.trenord.it,['reference'],"['tourist destinations', 'travel & transportation', 'long distance bus & rail', 'regional parks & gardens']",False,False
www.xn--l3cm7a5azd.tv,['news'],"['online communities', 'entertainment industry', 'arts & entertainment', 'online video', 'social networks']",False,False
www.modelle-hamburg.de,['radio control & modeling'],"['fashion & style', 'beauty & fitness', 'shopping']",False,False
www.nichireifoods.co.jp,"['world cuisine', 'food & drink']","['cuisines', 'food & drink', 'cooking & recipes']",False,False
gente.ig.com.br,"['arts & entertainment', 'news']","['social networks', 'people & society', 'forum & chat providers', 'online communities']",False,False
www.onvista.de,"['news', 'business & industrial']","['finance', 'business & industrial', 'investing']",False,False
greenwaystart.com,"['business & industrial', 'people & society', 'shopping']","['finance', 'business & industrial', 'shopping']",False,False
mix.tj,"['online video', 'online communities']","['music & audio', 'online communities', 'entertainment industry', 'arts & entertainment', 'social networks']",False,False
www.distancesfrom.com,['reference'],"['travel guides & travelogues', 'travel & transportation', 'online communities']",False,False
www.1337xx.to,"['online communities', 'internet & telecom']","['arts & entertainment', 'online video', 'movies', 'entertainment industry']",False,False
novelmao.com,"['books & literature', 'arts & entertainment']","['online communities', 'books & literature', 'jobs & education', 'social networks', 'education']",False,False
ci-en.net,['education'],"['roleplaying games', 'games', 'social networks', 'online communities']",False,False
maximum.md,['news'],"['computers & electronics', 'home appliances', 'home & garden', 'shopping']",False,False
www.yannick.com.tw,"['arts & entertainment', 'shopping']","['food & drink', 'cooking & recipes', 'shopping']",False,False
www.langkahindopools.org,['reference'],"['sports', 'finance', 'online communities']",False,False
www.ngengesport.cd,"['news', 'sports']","['sports', 'finance', 'soccer']",False,False
fotoscapes.com,"['fishing', 'photographic & digital arts']","['arts & entertainment', 'visual art & design', 'photographic & digital arts']",False,False
